,,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,,,
HK-SFC-2.01,2. Infrastructure security management,2.1 Deploy a secure network infrastructure,"A licensed or registered person should deploy a secure network infrastructure through proper network segmentation, ie, a Demilitarised Zone (DMZ) with multi-tiered firewalls, to protect critical systems (eg, internet trading system and settlement system) and client data against cyber-attacks.",Functional,intersects,7,"PR.IR-04.02: Technology availability and capacity is planned, monitored, managed, and optimized to meet business resilience objectives and reasonably anticipated infrastructure demands.",PROTECT / Technology Infrastructure Resilience / Capacity Management,PR.IR-04.02
HK-SFC-2.02,2. Infrastructure security management,2.2 User access management,"A licensed or registered person should have policies and procedures in place to ensure that system access or the use of the systems are granted to users on a need-to-have basis. In addition, a licensed or registered person should review, at least on a yearly basis, the user access list of critical systems (eg, internet trading systems and settlement systems) and databases (eg, client data) to ensure that access to or use of the systems remain restricted to persons approved to use them on a need-to-have basis.",Functional,intersects,8,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.01
HK-SFC-2.02,2. Infrastructure security management,2.2 User access management,"A licensed or registered person should have policies and procedures in place to ensure that system access or the use of the systems are granted to users on a need-to-have basis. In addition, a licensed or registered person should review, at least on a yearly basis, the user access list of critical systems (eg, internet trading systems and settlement systems) and databases (eg, client data) to ensure that access to or use of the systems remain restricted to persons approved to use them on a need-to-have basis.",Functional,superset,9,"PR.AA-01.02: Physical and logical access to systems is permitted only for individuals who have a legitimate business requirement, have been authorized, and who are adequately trained and monitored.","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.02
HK-SFC-2.02,2. Infrastructure security management,2.2 User access management,"A licensed or registered person should have policies and procedures in place to ensure that system access or the use of the systems are granted to users on a need-to-have basis. In addition, a licensed or registered person should review, at least on a yearly basis, the user access list of critical systems (eg, internet trading systems and settlement systems) and databases (eg, client data) to ensure that access to or use of the systems remain restricted to persons approved to use them on a need-to-have basis.",Functional,superset,9,"PR.AA-03.02: Decisions to authorize user access to devices and other assets are made with consideration of:
(1) Business need for the access;
(2) The type of data being accessed (e.g., customer PII, public data);
(3) The risk of the transaction (e.g., internal-to-internal, external-to-internal); (4) The organization's level of trust for the accessing agent (e.g., external application, internal user); and
(5) The potential for harm.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.02
HK-SFC-2.02,2. Infrastructure security management,2.2 User access management,"A licensed or registered person should have policies and procedures in place to ensure that system access or the use of the systems are granted to users on a need-to-have basis. In addition, a licensed or registered person should review, at least on a yearly basis, the user access list of critical systems (eg, internet trading systems and settlement systems) and databases (eg, client data) to ensure that access to or use of the systems remain restricted to persons approved to use them on a need-to-have basis.",Functional,superset,9,"PR.AA-05.01: The organization limits access privileges to the minimum necessary and with consideration of separation of duties (e.g., through role- based access control, asset owner access recertifications, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.01
HK-SFC-2.03,2. Infrastructure security management,2.3 Security controls over remote connection,A licensed or registered person should grant remote access to its internal network on a need-to-have basis and implement security controls over such access.,Functional,intersects,8,"PR.AA-01.02: Physical and logical access to systems is permitted only for individuals who have a legitimate business requirement, have been authorized, and who are adequately trained and monitored.","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.02
HK-SFC-2.03,2. Infrastructure security management,2.3 Security controls over remote connection,A licensed or registered person should grant remote access to its internal network on a need-to-have basis and implement security controls over such access.,Functional,intersects,9,"PR.AA-03.02: Decisions to authorize user access to devices and other assets are made with consideration of:
(1) Business need for the access;
(2) The type of data being accessed (e.g., customer PII, public data);
(3) The risk of the transaction (e.g., internal-to-internal, external-to-internal); (4) The organization's level of trust for the accessing agent (e.g., external application, internal user); and
(5) The potential for harm.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.02
HK-SFC-2.03,2. Infrastructure security management,2.3 Security controls over remote connection,A licensed or registered person should grant remote access to its internal network on a need-to-have basis and implement security controls over such access.,Functional,superset,9,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.05
HK-SFC-2.04,2. Infrastructure security management,2.4 Patch management,"A licensed or registered person should monitor and evaluate security patches or hotfixes released by software provider(s) on a timely basis and, subject to an evaluation of the impact, conduct testing as soon as practicable and implement the security patches or hotfixes within one month following the completion of testing.",Functional,intersects,5,"PR.PS-01.08: End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PROTECT / Platform Security / Configuration Management,PR.PS-01.08
HK-SFC-2.04,2. Infrastructure security management,2.4 Patch management,"A licensed or registered person should monitor and evaluate security patches or hotfixes released by software provider(s) on a timely basis and, subject to an evaluation of the impact, conduct testing as soon as practicable and implement the security patches or hotfixes within one month following the completion of testing.",Functional,equal,10,"PR.PS-02.01: The organization defines and implements controls to identify patches to technology assets, assess patch criticality and risk, test patches, and apply patches within risk/criticality-based target time frames.",PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02.01
