,"Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping",,
HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
C-RAF Domain / Component / Subcomponent,Level,C-RAF Statement,Rationale,Relationship,ACS,FCS,CRI Profile Statement,Profile Function / Category / Subcategory,Outline Id
Domain 1 Governance / 1.2 Strategies and policies / 1.2.1 Strategy and programme,Baseline,"1.2.1.1: A cybersecurity strategy is in place to mitigate cyber risk by integrating technology, policies, procedures, and training.",Semantic,Subset of,9,10,"GV.RM-01.03: The organization has established, and maintains, technology and cybersecurity programs designed to protect the confidentiality, integrity and availability of its information and operational systems, commensurate with the organization's risk appetite and business needs.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,009.017
Domain 1 Governance / 1.2 Strategies and policies / 1.2.1 Strategy and programme,Baseline,"1.2.1.1: A cybersecurity strategy is in place to mitigate cyber risk by integrating technology, policies, procedures, and training.",Semantic,Subset of,9,10,"GV.PO-01.05: Technology and cybersecurity processes, procedures, and controls are established in alignment with cybersecurity policy.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",024.063
Domain 1 Governance / 1.2 Strategies and policies / 1.2.1 Strategy and programme,Baseline,"1.2.1.1: A cybersecurity strategy is in place to mitigate cyber risk by integrating technology, policies, procedures, and training.",Semantic,Subset of,8,10,"ID.RA-06.03: Technology and cybersecurity programs identify and implement controls to manage applicable risks within the risk appetite set by the governing authority (e.g., the Board or one of its committees).",IDENTIFY / Risk Assessment / Risk Response Determination,060.127
Domain 1 Governance / 1.2 Strategies and policies / 1.2.1 Strategy and programme,Baseline,1.2.1.2: There is enterprise-wide coordination for all elements of the cybersecurity programme.,Semantic,Subset of,9,10,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",GOVERN / Organizational Context / Organizational Mission,003.001
Domain 1 Governance / 1.2 Strategies and policies / 1.2.1 Strategy and programme,Baseline,1.2.1.2: There is enterprise-wide coordination for all elements of the cybersecurity programme.,Semantic,Subset of,9,10,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,009.015
Domain 1 Governance / 1.2 Strategies and policies / 1.2.1 Strategy and programme,Baseline,1.2.1.2: There is enterprise-wide coordination for all elements of the cybersecurity programme.,Semantic,Subset of,9,10,GV.RM-03.01: Technology and cybersecurity risk management frameworks and programs are integrated into the enterprise risk management framework.,GOVERN / Risk Management Strategy / Enterprise Risk Integration,011.023
Domain 1 Governance / 1.2 Strategies and policies / 1.2.1 Strategy and programme,Baseline,1.2.1.2: There is enterprise-wide coordination for all elements of the cybersecurity programme.,Semantic,Subset of,8,10,"GV.RM-03.04: Technology and cybersecurity risk management considerations are integrated into daily operations, cultural norms, management discussions, and management decision-making, and are tailored to address enterprise-specific risks (both internal and external).",GOVERN / Risk Management Strategy / Enterprise Risk Integration,011.026
Domain 1 Governance / 1.2 Strategies and policies / 1.2.1 Strategy and programme,Intermediate,"1.2.1.3: A cybersecurity strategy is in place that highlights the directions and actions required to maintain or strengthen the AI’s cyber resilience in conjunction with strategic business directions, new technologies adopted, new third parties engaged for critical functions, and security industry standards or benchmarks.",Semantic,Intersects with,9,10,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",GOVERN / Organizational Context / Organizational Mission,003.001
Domain 1 Governance / 1.2 Strategies and policies / 1.2.1 Strategy and programme,Intermediate,"1.2.1.3: A cybersecurity strategy is in place that highlights the directions and actions required to maintain or strengthen the AI’s cyber resilience in conjunction with strategic business directions, new technologies adopted, new third parties engaged for critical functions, and security industry standards or benchmarks.",Semantic,Intersects with,8,10,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.",GOVERN / Organizational Context / Stakeholder Risk Management Expectations,004.002
Domain 1 Governance / 1.2 Strategies and policies / 1.2.1 Strategy and programme,Intermediate,"1.2.1.3: A cybersecurity strategy is in place that highlights the directions and actions required to maintain or strengthen the AI’s cyber resilience in conjunction with strategic business directions, new technologies adopted, new third parties engaged for critical functions, and security industry standards or benchmarks.",Semantic,Intersects with,8,10,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,009.015
