CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,,
015.031,DS,GV.RM-07.01,GOVERN / Risk Management Strategy / Strategic Opportunities,"GV.RM-07.01: The organization has mechanisms in place to ensure that strategies, initiatives, opportunities, and emerging technologies (e.g., artificial intelligence, quantum computing, etc.) are evaluated both in terms of risks and uncertainties that are potentially detrimental to the organization, as well as potentially advantageous to the organization (i.e., positive risks).",Yes,Yes,No,No,"GV.RM-07
","APRA CPG 234 (3), ASIC (2), DORA Level 1 (2), EBA (1), FFIEC AIO (4), FFIEC CAT (1), FFIEC DAM (1), HKMA C-RAF (1), JFSA (1), NAIC IDSML (1), OSFI B-13 (2), OSFI CSSA (3)"
016,S,GV.RM-08,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08: The risks of technology assimilation and implementations are managed,,,,,"None
(CRI Addition)",
016.032,DS,GV.RM-08.01,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,"GV.RM-08.01: Technology and cybersecurity risk management frameworks are applied to, and are adapted as needed by, the organization's innovations in technology use and adoption of emerging technologies.",Yes,Yes,Yes,Yes,"None
","APRA CPG 234 (2), APRA CPS 234 (1), ASIC (1), DORA Level 1 (3), EBA (2), ECB CROE (5), FFIEC AIO (5), FFIEC CAT (2), FFIEC DAM (2), HKMA C-RAF (1), JFSA (1), NAIC IDSML (2), OSFI B-13 (5), OSFI CSSA (3)"
016.033,DS,GV.RM-08.02,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,"GV.RM-08.02: Technology and cybersecurity risk management frameworks are applied to all technology projects and procurements to ensure that security requirements (e.g., data confidentiality, access control, event logging, etc.) are addressed consistently from project onset.",Yes,Yes,Yes,Yes,"None
","DORA Level 1 (1), EBA (4), ECB CROE (5), FFIEC AIO (6), FFIEC CAT (3), FFIEC DAM (8), HKMA C-RAF (3), JFSA (2), MAS (4), NYDFS Part 500 (1), OSFI B-13 (4), OSFI CSSA (1)"
016.034,DS,GV.RM-08.03,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,"GV.RM-08.03: The organization defines, maintains, and uses technical security standards, architectures, processes or practices (including automated tools when practical) to ensure the security of its applications and infrastructure.",Yes,Yes,Yes,No,"None
","APRA CPG 234 (1), DORA Level 1 (3), ECB CROE (6), FFIEC AIO (4), FFIEC CAT (1), FFIEC DAM (1), HKMA C-RAF (3), JFSA (1), MAS (2), NYDFS Part 500 (1), OSFI B-13 (3), OSFI CSSA (1)"
016.035,DS,GV.RM-08.04,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,"GV.RM-08.04: The organization integrates the use of technology architecture in its governance processes to support consistent approaches to security and technology design, integration of third party services, consideration and adoption of new technologies, and investment and procurement decisioning.",Yes,Yes,Yes,No,"None
","APRA CPG 234 (4), ASIC (3), EBA (5), ECB CROE (4), FFIEC AIO (12), FFIEC CAT (1), FFIEC DAM (7), HKMA C-RAF (2), JFSA (3), MAS (2), OSFI B-13 (4), OSFI CSSA (2)"
016.036,DS,GV.RM-08.05,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,"GV.RM-08.05: The technology architecture and associated management processes should be comprehensive (e.g., consider the full life cycle of infrastructure, applications, emerging technologies, and relevant data) and designed to achieve security and resilience commensurate with business needs.",Yes,Yes,No,No,"None
","DORA Level 1 (2), EBA (1), ECB CROE (1), FFIEC AIO (12), FFIEC BCM (1), FFIEC CAT (1), FFIEC DAM (1), HKMA C-RAF (1), MAS (5), NAIC IDSML (1), OSFI B-13 (4)"
016.037,DS,GV.RM-08.06,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,"GV.RM-08.06: Technology programs and projects are formally governed and stakeholder engagement is managed to facilitate effective communication, awareness, credible challenge, and decision-making.",Yes,Yes,Yes,Yes,"None
","EBA (7), FFIEC AIO (7), FFIEC CAT (1), FFIEC DAM (12), JFSA (1), MAS (5), OSFI B-13 (1), OSFI CSSA (1)"
016.038,DS,GV.RM-08.07,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,"GV.RM-08.07: Technology projects follow an established project management methodology to manage delivery and delivery risks, produce consistent quality, and achieve business objectives and value.",Yes,Yes,Yes,Yes,"None
","EBA (5), FFIEC AIO (4), FFIEC CAT (1), FFIEC DAM (13), JFSA (2), MAS (5), OSFI B-13 (1)"
017,S,GV.RM-09,GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09: The organization's business continuity and resilience requirement risks are managed,,,,,"None
(CRI Addition)",
