OCC Cybersecurity Supervision Work Program References to CRI Profile ver. 2.1 Mapping,OCC Cybersecurity Supervision Work Program References to CRI Profile ver. 2.1 Mapping,OCC Cybersecurity Supervision Work Program References to CRI Profile ver. 2.1 Mapping,OCC Cybersecurity Supervision Work Program References to CRI Profile ver. 2.1 Mapping,OCC Cybersecurity Supervision Work Program References to CRI Profile ver. 2.1 Mapping,OCC Cybersecurity Supervision Work Program References to CRI Profile ver. 2.1 Mapping,OCC Cybersecurity Supervision Work Program References to CRI Profile ver. 2.1 Mapping,OCC Cybersecurity Supervision Work Program References to CRI Profile ver. 2.1 Mapping
"
IDENTIFY",Risk Management Strategy,ID.RM-2.RT,Risk Appetite/Tolerance,Evaluate the effectiveness of processes used to determine risk appetite and risk tolerance for cybersecurity.,GV.RM-02.01,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements
"
IDENTIFY",Risk Management Strategy,ID.RM-2.RT,Risk Appetite/Tolerance,Evaluate the effectiveness of processes used to determine risk appetite and risk tolerance for cybersecurity.,GV.RM-02.02,"GV.RM-02.02: The organization has established statements of technology and cybersecurity risk tolerance consistent with its risk appetite, and has integrated them into technology, cybersecurity, operational, and enterprise risk management practices.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements
"
IDENTIFY",Risk Management Strategy,ID.RM-2.RT,Risk Appetite/Tolerance,Evaluate the effectiveness of processes used to determine risk appetite and risk tolerance for cybersecurity.,GV.RM-02.03,"GV.RM-02.03: Determination of the organization's risk appetite and tolerance includes consideration of the organization's stakeholder obligations, role in critical infrastructure, and sector-specific risk analysis.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements
"
IDENTIFY",Risk Management Strategy,ID.RM-2.RT,Risk Appetite/Tolerance,Evaluate the effectiveness of processes used to determine risk appetite and risk tolerance for cybersecurity.,GV.OV-02.01,"GV.OV-02.01: The organization regularly assesses its inherent technology and cybersecurity risks and ensures that changes to the business and threat environment lead to updates to the organization's strategies, programs, risk appetite and risk tolerance.",GOVERN / Oversight / Risk Management Strategy Review & Adjustment
"
IDENTIFY",Risk Management Strategy,ID.RM-2.RT,Risk Appetite/Tolerance,Evaluate the effectiveness of processes used to determine risk appetite and risk tolerance for cybersecurity.,ID.IM-01.03,"ID.IM-01.03: The organization establishes specific objectives, performance criteria, benchmarks, and tolerance limits to identify areas that have improved or are in need of improvement over time.",IDENTIFY / Improvement / Continuous Improvements Evaluation
"
IDENTIFY",Risk Management Strategy,ID.RM-3.CI,Critical Infrastructure Risk Tolerance,Determine whether management considers and incorporates the bank’s role as part of critical infrastructure when establishing risk appetite or risk tolerances.,GV.OC-02.02,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,GOVERN / Organizational Context / Stakeholder Risk Management Expectations
"
IDENTIFY",Risk Management Strategy,ID.RM-3.CI,Critical Infrastructure Risk Tolerance,Determine whether management considers and incorporates the bank’s role as part of critical infrastructure when establishing risk appetite or risk tolerances.,GV.RM-02.03,"GV.RM-02.03: Determination of the organization's risk appetite and tolerance includes consideration of the organization's stakeholder obligations, role in critical infrastructure, and sector-specific risk analysis.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements
"
IDENTIFY",Risk Management Strategy,ID.RM-3.CI,Critical Infrastructure Risk Tolerance,Determine whether management considers and incorporates the bank’s role as part of critical infrastructure when establishing risk appetite or risk tolerances.,GV.RM-09.01,"GV.RM-09.01: The organization has an enterprise-wide resilience strategy and program, including architecture, cyber resilience, business continuity, disaster recovery, and incident response, which support its mission, stakeholder obligations, critical infrastructure role, and risk appetite.",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management
"
IDENTIFY",Risk Management Strategy,ID.RM-3.CI,Critical Infrastructure Risk Tolerance,Determine whether management considers and incorporates the bank’s role as part of critical infrastructure when establishing risk appetite or risk tolerances.,GV.RM-09.02,"GV.RM-09.02: The resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders, to include critical infrastructure partners, during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management
"
IDENTIFY",Risk Management Strategy,ID.RM-3.CI,Critical Infrastructure Risk Tolerance,Determine whether management considers and incorporates the bank’s role as part of critical infrastructure when establishing risk appetite or risk tolerances.,ID.IM-02.08,"ID.IM-02.08: The organization tests and exercises, independently and in coordination with other critical sector partners, its ability to support sector-wide resilience in the event of extreme financial stress or the instability of external dependencies, such as connectivity to markets, payment systems, clearing entities, messaging services, etc.",IDENTIFY / Improvement / Tests & Exercises
