,,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,
SA-17,System and Services Acquisition (SA),Developer Security and Privacy Architecture and Design,"Require the developer of the system, system component, or system service to produce a design specification and security and privacy architecture that:
a.  Is consistent with the organization’s security and privacy architecture that is an integral part the organization’s enterprise architecture;
b.  Accurately and completely describes the required security and privacy functionality, and the allocation of controls among physical and logical components; and
c.  Expresses how individual security and privacy functions, mechanisms, and services work together to provide required security and privacy capabilities and a unified approach to protection.
",Semantic,Intersects with,7,10,"EX.DD-04.02: The organization reviews and evaluates any technologies or information systems proposed to support a third party's services or activities, to include compatibility with the organization's technology and cybersecurity architectures, interactions and interfaces with existing systems, security controls, operational management and support requirements, and suitability to the task.",EXTEND / Procurement Planning and Due Diligence / Product & Service Due Diligence,EX.DD-04.02,145.298,
SA-18,System and Services Acquisition (SA),Tamper Resistance and Detection,[ Moved to SR-9],,,,0,None,,None,,
SA-19,System and Services Acquisition (SA),Component Authenticity,[ Moved to SR-11],,,,0,None,,None,,
SA-20,System and Services Acquisition (SA),Customized Development of Critical Components,"Reimplement or custom develop the following critical system components: [Assignment: organization-defined critical system components].
",Semantic,No relationship,0,0,None,,None,,
SA-21,System and Services Acquisition (SA),Developer Screening,"Require that the developer of [Assignment: organization-defined system, system component, or system service]:
a.  Has appropriate access authorizations as determined by assigned [Assignment: organization-defined official government duties]; and
b.  Satisfies the following additional personnel screening criteria: [Assignment: organization-defined additional personnel screening criteria].
",Semantic,Subset,9,9,"GV.RR-04.01: The organization conducts (or causes the conduct of) background/screening checks on all personnel (employees and third party) upon hire/retention, at regular intervals throughout employment, and upon a change in role commensurate with their access to critical data and systems.","GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices",GV.RR-04.01,022.056,
SA-22,System and Services Acquisition (SA),Unsupported System Components,"a.  Replace system components when support for the components is no longer available from the developer, vendor, or manufacturer; or
b.  Provide the following options for alternative sources for continued support for unsupported components [Selection (one or more): in-house support; [Assignment: organization-defined support from external providers]].
",Semantic,Intersects with,8,10,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).","GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",GV.RR-03.01,021.053,
SA-22,System and Services Acquisition (SA),Unsupported System Components,"a.  Replace system components when support for the components is no longer available from the developer, vendor, or manufacturer; or
b.  Provide the following options for alternative sources for continued support for unsupported components [Selection (one or more): in-house support; [Assignment: organization-defined support from external providers]].
",Semantic,Intersects with,8,10,"ID.AM-08.02: The organization establishes policies, and employs methods to identify, assess, and manage technology solutions that are acquired, managed, or used outside of established, governed technology and cybersecurity processes (i.e., ""Shadow IT"").",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.02,053.106,
SA-22,System and Services Acquisition (SA),Unsupported System Components,"a.  Replace system components when support for the components is no longer available from the developer, vendor, or manufacturer; or
b.  Provide the following options for alternative sources for continued support for unsupported components [Selection (one or more): in-house support; [Assignment: organization-defined support from external providers]].
",Semantic,Intersects with,9,10,PR.PS-02.02: The organization establishes standards and practices for ongoing application management to ensure that applications remain secure and continue to meet organizational needs.,PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02.02,086.203,
SA-22,System and Services Acquisition (SA),Unsupported System Components,"a.  Replace system components when support for the components is no longer available from the developer, vendor, or manufacturer; or
b.  Provide the following options for alternative sources for continued support for unsupported components [Selection (one or more): in-house support; [Assignment: organization-defined support from external providers]].
",Semantic,Intersects with,9,10,"PR.PS-02.03: Technology obsolescence, unsupported systems, and end-of-life decommissioning/replacements are addressed in a risk-based manner and actively planned for, funded, managed, and securely executed.",PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02.03,086.204,
SA-23,System and Services Acquisition (SA),Specialization,"Employ [Selection (one or more): design; modification; augmentation; reconfiguration] on [Assignment: organization-defined systems or system components] supporting mission essential services or functions to increase the trustworthiness in those systems or components.
",Semantic,Subset of ,8,8,"PR.PS-06.02: The architecture, design, coding, testing, and operationalization of system solutions address the unique security, resilience, technical, and operational characteristics of the target platform environment(s) (e.g., distributed system, mainframe, cloud, API, mobile, database, etc.)",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.02,090.213,
SC-01,System and Communications Protection (SC),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] system and communications protection policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the system and communications protection policy and the associated system and communications protection controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the system and communications protection policy and procedures; and
c.  Review and update the current system and communications protection:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Subset of ,8,9,"GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01,005.005,
SC-01,System and Communications Protection (SC),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] system and communications protection policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the system and communications protection policy and the associated system and communications protection controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the system and communications protection policy and procedures; and
c.  Review and update the current system and communications protection:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Equal,10,9,"GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.01,024.059,
SC-01,System and Communications Protection (SC),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] system and communications protection policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the system and communications protection policy and the associated system and communications protection controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the system and communications protection policy and procedures; and
c.  Review and update the current system and communications protection:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Subset of ,8,9,"GV.PO-01.02: The accountable governing body, and applicable cybersecurity program and policies, for any given organizational unit, affiliate, or merged entity are clearly established, applied, and communicated.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.02,024.060,
SC-01,System and Communications Protection (SC),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] system and communications protection policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the system and communications protection policy and the associated system and communications protection controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the system and communications protection policy and procedures; and
c.  Review and update the current system and communications protection:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Equal,10,9,"GV.PO-01.05: Technology and cybersecurity processes, procedures, and controls are established in alignment with cybersecurity policy.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.05,024.063,
SC-01,System and Communications Protection (SC),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] system and communications protection policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the system and communications protection policy and the associated system and communications protection controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the system and communications protection policy and procedures; and
c.  Review and update the current system and communications protection:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Equal,10,9,"GV.PO-02.01: The cybersecurity policy is regularly reviewed, revised, and communicated under the leadership of a designated Cybersecurity Officer (e.g., CISO) to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.","GOVERN / Policies, Processes, and Procedures / Policy & Procedure Review & Update",GV.PO-02.01,025.067,
SC-02,System and Communications Protection (SC),Separation of System and User Functionality,"Separate user functionality, including user interface services, from system management functionality.
",Semantic,No relationship,0,0,None,,None,,
SC-03,System and Communications Protection (SC),Security Function Isolation,"Isolate security functions from nonsecurity functions.
",Semantic,No relationship,0,0,None,,None,,
SC-04,System and Communications Protection (SC),Information in Shared System Resources,"Prevent unauthorized and unintended information transfer via shared system resources.
",Semantic,Intersects with,8,8,"PR.DS-01.01: Data-at-rest is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, segregation, masking, tokenization, and file integrity monitoring).",PROTECT / Data Security / Protection of Data at Rest,PR.DS-01.01,080.187,
SC-04,System and Communications Protection (SC),Information in Shared System Resources,"Prevent unauthorized and unintended information transfer via shared system resources.
",Semantic,Intersects with,8,8,"PR.DS-02.01: Data-in-transit is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, and alternate transit paths).",PROTECT / Data Security / Protection of Data in Transit,PR.DS-02.01,081.190,
SC-04,System and Communications Protection (SC),Information in Shared System Resources,"Prevent unauthorized and unintended information transfer via shared system resources.
",Semantic,Intersects with,8,8,"PR.DS-10.01: Data-in-use is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, visual shielding, memory integrity monitoring, etc.)",PROTECT / Data Security / Protection of Data in Use,PR.DS-10.01,082.191,
SC-04,System and Communications Protection (SC),Information in Shared System Resources,"Prevent unauthorized and unintended information transfer via shared system resources.
",Semantic,Intersects with,8,8,"PR.PS-06.10: The organization establishes policies and procedures for the secure design, configuration, modification, and operation of databases, data stores, and data analytics platforms consistent with the criticality of the data being managed.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.10,090.221,
SC-04,System and Communications Protection (SC),Information in Shared System Resources,"Prevent unauthorized and unintended information transfer via shared system resources.
",Semantic,Intersects with,8,8,"PR.IR-01.01: Networks, systems, and external connections are segmented (e.g., using firewalls, software-defined networks, guest wireless networks, etc.) to implement defense-in-depth and access isolation principles.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.01,093.224,
SC-04,System and Communications Protection (SC),Information in Shared System Resources,"Prevent unauthorized and unintended information transfer via shared system resources.
",Semantic,Intersects with,8,8,"PR.IR-01.07: The organization defines and implements controls for securely configuring and operating Operational Technologies, Industrial Control Systems, and Internet-of-Things (IoT) devices (e.g., segregated printer networks, resetting of default passwords, etc.)",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.07,093.230,
SC-04,System and Communications Protection (SC),Information in Shared System Resources,"Prevent unauthorized and unintended information transfer via shared system resources.
",Semantic,Intersects with,8,8,"PR.IR-01.08: The organization implements policies, procedures, end-user agreements, and technical controls to address the risks of end-user mobile or personal computing devices accessing the organization's network and resources.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.08,093.231,
SC-04,System and Communications Protection (SC),Information in Shared System Resources,"Prevent unauthorized and unintended information transfer via shared system resources.
",Semantic,Intersects with,8,8,"DE.CM-01.05: The organization implements measures to detect and block access to unauthorized, inappropriate, or malicious websites and services (e.g. social media, messaging, file sharing).",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.05,099.240,
SC-05,System and Communications Protection (SC),Denial-of-Service Protection,"a.  [Selection (one): Protect against; Limit] the effects of the following types of denial-of-service events: [Assignment: organization-defined types of denial-of-service events]; and
b.  Employ the following controls to achieve the denial-of-service objective: [Assignment: organization-defined controls by type of denial-of-service event].
",Semantic,Intersects with,10,10,"PR.IR-01.03: The integrity and resilience of the organization's communications and control network services are enhanced through controls such as denial of service protections, secure name/address resolution, and/or alternate communications paths.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.03,093.226,
SC-05,System and Communications Protection (SC),Denial-of-Service Protection,"a.  [Selection (one): Protect against; Limit] the effects of the following types of denial-of-service events: [Assignment: organization-defined types of denial-of-service events]; and
b.  Employ the following controls to achieve the denial-of-service objective: [Assignment: organization-defined controls by type of denial-of-service event].
",Semantic,Intersects with,9,10,"PR.IR-03.01: The organization implements mechanisms (e.g., failsafe, load balancing, hot swaps, redundant equipment, alternate services, backup facilities, etc.) to achieve resilience requirements in normal and adverse situations.",PROTECT / Technology Infrastructure Resilience / Resilience Measures,PR.IR-03.01,095.233,
SC-05,System and Communications Protection (SC),Denial-of-Service Protection,"a.  [Selection (one): Protect against; Limit] the effects of the following types of denial-of-service events: [Assignment: organization-defined types of denial-of-service events]; and
b.  Employ the following controls to achieve the denial-of-service objective: [Assignment: organization-defined controls by type of denial-of-service event].
",Semantic,Intersects with,8,10,DE.CM-01.01: The organization deploys intrusion detection and intrusion prevention capabilities to detect and prevent a potential network intrusion in its early stages for timely containment and recovery.,DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.01,099.236,
SC-05,System and Communications Protection (SC),Denial-of-Service Protection,"a.  [Selection (one): Protect against; Limit] the effects of the following types of denial-of-service events: [Assignment: organization-defined types of denial-of-service events]; and
b.  Employ the following controls to achieve the denial-of-service objective: [Assignment: organization-defined controls by type of denial-of-service event].
",Semantic,Intersects with,9,10,"DE.CM-01.02: The organization implements mechanisms, such as alerting and filtering of sudden high volumes and suspicious incoming traffic, to detect and mitigate Denial of Service, ""bot"", and credential stuffing attacks.",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.02,099.237,
SC-06,System and Communications Protection (SC),Resource Availability,"Protect the availability of resources by allocating [Assignment: organization-defined resources] by [Selection (one or more): priority; quota; [Assignment: organization-defined controls]].
",Semantic,Intersects with,9,10,"PR.IR-03.01: The organization implements mechanisms (e.g., failsafe, load balancing, hot swaps, redundant equipment, alternate services, backup facilities, etc.) to achieve resilience requirements in normal and adverse situations.",PROTECT / Technology Infrastructure Resilience / Resilience Measures,PR.IR-03.01,095.233,
SC-06,System and Communications Protection (SC),Resource Availability,"Protect the availability of resources by allocating [Assignment: organization-defined resources] by [Selection (one or more): priority; quota; [Assignment: organization-defined controls]].
",Semantic,Intersects with,8,10,PR.IR-04.01: Baseline measures of network and system utilization and transaction activity are captured to support capacity planning and anomalous activity detection.,PROTECT / Technology Infrastructure Resilience / Capacity Management,PR.IR-04.01,096.234,
SC-06,System and Communications Protection (SC),Resource Availability,"Protect the availability of resources by allocating [Assignment: organization-defined resources] by [Selection (one or more): priority; quota; [Assignment: organization-defined controls]].
",Semantic,Intersects with,9,10,"PR.IR-04.02: Technology availability and capacity is planned, monitored, managed, and optimized to meet business resilience objectives and reasonably anticipated infrastructure demands.",PROTECT / Technology Infrastructure Resilience / Capacity Management,PR.IR-04.02,096.235,
SC-07,System and Communications Protection (SC),Boundary Protection,"a.  Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;
b.  Implement subnetworks for publicly accessible system components that are [Selection (one): physically; logically] separated from internal organizational networks; and
c.  Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.
",Semantic,Intersects with,9,10,"PR.IR-01.01: Networks, systems, and external connections are segmented (e.g., using firewalls, software-defined networks, guest wireless networks, etc.) to implement defense-in-depth and access isolation principles.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.01,093.224,
SC-07,System and Communications Protection (SC),Boundary Protection,"a.  Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;
b.  Implement subnetworks for publicly accessible system components that are [Selection (one): physically; logically] separated from internal organizational networks; and
c.  Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.
",Semantic,Intersects with,9,10,"PR.IR-01.02: Network device configurations (e.g., firewall rules, ports, and protocols) are documented, reviewed and updated regularly and upon change to ensure alignment with network access, segmentation, traversal, and deny-all default requirements.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.02,093.225,
SC-07,System and Communications Protection (SC),Boundary Protection,"a.  Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;
b.  Implement subnetworks for publicly accessible system components that are [Selection (one): physically; logically] separated from internal organizational networks; and
c.  Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.
",Semantic,Intersects with,9,10,"PR.IR-01.03: The integrity and resilience of the organization's communications and control network services are enhanced through controls such as denial of service protections, secure name/address resolution, and/or alternate communications paths.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.03,093.226,
SC-07,System and Communications Protection (SC),Boundary Protection,"a.  Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;
b.  Implement subnetworks for publicly accessible system components that are [Selection (one): physically; logically] separated from internal organizational networks; and
c.  Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.
",Semantic,Intersects with,9,10,"PR.IR-01.04: The organization controls access to its wireless networks and the information that these networks process by implementing appropriate mechanisms (e.g., strong authentication for authentication and transmission, preventing unauthorized devices from connecting to the internal networks, restricting unauthorized traffic, and segregating guest wireless networks).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.04,093.227,
SC-07,System and Communications Protection (SC),Boundary Protection,"a.  Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;
b.  Implement subnetworks for publicly accessible system components that are [Selection (one): physically; logically] separated from internal organizational networks; and
c.  Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.
",Semantic,Intersects with,9,10,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.05,093.228,
SC-07,System and Communications Protection (SC),Boundary Protection,"a.  Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;
b.  Implement subnetworks for publicly accessible system components that are [Selection (one): physically; logically] separated from internal organizational networks; and
c.  Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.
",Semantic,Intersects with,8,10,"PR.IR-01.08: The organization implements policies, procedures, end-user agreements, and technical controls to address the risks of end-user mobile or personal computing devices accessing the organization's network and resources.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.08,093.231,
SC-07,System and Communications Protection (SC),Boundary Protection,"a.  Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;
b.  Implement subnetworks for publicly accessible system components that are [Selection (one): physically; logically] separated from internal organizational networks; and
c.  Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.
",Semantic,Intersects with,9,10,PR.IR-04.01: Baseline measures of network and system utilization and transaction activity are captured to support capacity planning and anomalous activity detection.,PROTECT / Technology Infrastructure Resilience / Capacity Management,PR.IR-04.01,096.234,
SC-07,System and Communications Protection (SC),Boundary Protection,"a.  Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;
b.  Implement subnetworks for publicly accessible system components that are [Selection (one): physically; logically] separated from internal organizational networks; and
c.  Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.
",Semantic,Intersects with,9,10,DE.CM-01.01: The organization deploys intrusion detection and intrusion prevention capabilities to detect and prevent a potential network intrusion in its early stages for timely containment and recovery.,DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.01,099.236,
SC-07,System and Communications Protection (SC),Boundary Protection,"a.  Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;
b.  Implement subnetworks for publicly accessible system components that are [Selection (one): physically; logically] separated from internal organizational networks; and
c.  Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.
",Semantic,Intersects with,9,10,"DE.CM-01.02: The organization implements mechanisms, such as alerting and filtering of sudden high volumes and suspicious incoming traffic, to detect and mitigate Denial of Service, ""bot"", and credential stuffing attacks.",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.02,099.237,
SC-07,System and Communications Protection (SC),Boundary Protection,"a.  Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;
b.  Implement subnetworks for publicly accessible system components that are [Selection (one): physically; logically] separated from internal organizational networks; and
c.  Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.
",Semantic,Intersects with,9,10,"DE.CM-01.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block unauthorized network connections and data transfers.",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.03,099.238,
SC-07,System and Communications Protection (SC),Boundary Protection,"a.  Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;
b.  Implement subnetworks for publicly accessible system components that are [Selection (one): physically; logically] separated from internal organizational networks; and
c.  Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.
",Semantic,Intersects with,9,10,"DE.CM-01.04: The organization has policies, procedures, and tools in place to monitor for, detect, and block access from/to devices that are not authorized or do not conform to security policy (e.g., unpatched systems).",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.04,099.239,
SC-07,System and Communications Protection (SC),Boundary Protection,"a.  Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;
b.  Implement subnetworks for publicly accessible system components that are [Selection (one): physically; logically] separated from internal organizational networks; and
c.  Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.
",Semantic,Intersects with,8,10,"DE.CM-01.05: The organization implements measures to detect and block access to unauthorized, inappropriate, or malicious websites and services (e.g. social media, messaging, file sharing).",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.05,099.240,
SC-07,System and Communications Protection (SC),Boundary Protection,"a.  Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;
b.  Implement subnetworks for publicly accessible system components that are [Selection (one): physically; logically] separated from internal organizational networks; and
c.  Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.
",Semantic,Intersects with,8,10,"DE.CM-01.06: The organization employs deception techniques and technologies (e.g., honeypots) to detect and prevent a potential intrusion in its early stages to support timely containment and recovery.",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.06,099.241,
SC-08,System and Communications Protection (SC),Transmission Confidentiality and Integrity,"Protect the [Selection (one or more): confidentiality; integrity] of transmitted information.
",Semantic,Intersects with,9,10,"PR.DS-02.01: Data-in-transit is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, and alternate transit paths).",PROTECT / Data Security / Protection of Data in Transit,PR.DS-02.01,081.190,
SC-08,System and Communications Protection (SC),Transmission Confidentiality and Integrity,"Protect the [Selection (one or more): confidentiality; integrity] of transmitted information.
",Semantic,Intersects with,9,10,PR.PS-01.06: The organization employs defined encryption methods and management practices commensurate with the criticality of the information being protected and the inherent risk of the technical environment where used.,PROTECT / Platform Security / Configuration Management,PR.PS-01.06,085.198,
SC-08,System and Communications Protection (SC),Transmission Confidentiality and Integrity,"Protect the [Selection (one or more): confidentiality; integrity] of transmitted information.
",Semantic,Intersects with,9,10,"PR.PS-01.08: End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PROTECT / Platform Security / Configuration Management,PR.PS-01.08,085.200,
SC-08,System and Communications Protection (SC),Transmission Confidentiality and Integrity,"Protect the [Selection (one or more): confidentiality; integrity] of transmitted information.
",Semantic,Intersects with,9,10,"PR.PS-01.09: Endpoint systems implemented using virtualization technologies employ mechanisms to protect network, application, and data integrity, such as restricting access to local network and peripheral devices, multi-factor authentication, locking-down device source network locations, and data leakage protections.",PROTECT / Platform Security / Configuration Management,PR.PS-01.09,085.201,
SC-08,System and Communications Protection (SC),Transmission Confidentiality and Integrity,"Protect the [Selection (one or more): confidentiality; integrity] of transmitted information.
",Semantic,Intersects with,9,10,"PR.IR-01.01: Networks, systems, and external connections are segmented (e.g., using firewalls, software-defined networks, guest wireless networks, etc.) to implement defense-in-depth and access isolation principles.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.01,093.224,
SC-08,System and Communications Protection (SC),Transmission Confidentiality and Integrity,"Protect the [Selection (one or more): confidentiality; integrity] of transmitted information.
",Semantic,Intersects with,9,10,"PR.IR-01.04: The organization controls access to its wireless networks and the information that these networks process by implementing appropriate mechanisms (e.g., strong authentication for authentication and transmission, preventing unauthorized devices from connecting to the internal networks, restricting unauthorized traffic, and segregating guest wireless networks).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.04,093.227,
SC-08,System and Communications Protection (SC),Transmission Confidentiality and Integrity,"Protect the [Selection (one or more): confidentiality; integrity] of transmitted information.
",Semantic,Intersects with,9,10,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.05,093.228,
