,"FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping",,
"FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)",Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
FFIEC AIO Objective Area,Objective Id,FFIEC AIO Objective Statement,Rationale,Relationship,AS,FCS,CRI Profile ver. 2.1 Diagnostic Statement,Profile Subcetegory,Profile Id
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.02,"Management should have policies, standards, and procedures for configuration management and define and implement appropriate configuration settings. Management should: 
a. Appropriately define and apply configuration settings on IT products at the entity. 
b. Ensure that systems and software used to support entity operations have appropriate configuration management capabilities, including configuration of audit log settings, and enforce configuration management.",Semantic,Superset of,5,10,"PR.PS-01.05: Acceptable encryption standards, methods, and management practices are established in accordance with defined industry standards.",PROTECT / Platform Security / Configuration Management,PR.PS-01.05
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.02,"Management should have policies, standards, and procedures for configuration management and define and implement appropriate configuration settings. Management should: 
a. Appropriately define and apply configuration settings on IT products at the entity. 
b. Ensure that systems and software used to support entity operations have appropriate configuration management capabilities, including configuration of audit log settings, and enforce configuration management.",Semantic,Superset of,6,10,"PR.PS-04.01: The organization establishes and regularly reviews log management standards and practices, to include the types of events to be detected, log content, security and access considerations, monitoring protocols, integrity checking mechanisms, and retention periods.",PROTECT / Platform Security / Log Record Generation,PR.PS-04.01
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.02,"Management should have policies, standards, and procedures for configuration management and define and implement appropriate configuration settings. Management should: 
a. Appropriately define and apply configuration settings on IT products at the entity. 
b. Ensure that systems and software used to support entity operations have appropriate configuration management capabilities, including configuration of audit log settings, and enforce configuration management.",Semantic,Superset of,6,10,"DE.CM-09.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block the use of unsupported or unauthorized software, hardware, or configuration changes.","DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring",DE.CM-09.03
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.03,"Management should establish procedures to stay abreast of system vulnerabilities and software vendor patches, test patches in a segregated environment, and install them when appropriate. Additionally, determine the effectiveness of the following:
a. Management implements a vulnerability management program that identifies systems and software vulnerabilities, prioritizes the vulnerabilities and the affected systems in order of risk, and performs timely remediation according to the risk of the vulnerability.
The vulnerability management program includes the following:
- Systems and software operating in the cloud for which the entity is responsible as well as those managed by the entity on its premises.
- Processes to monitor industry third parties (e.g., US-CERT, NIST, and FS-ISAC) that report vulnerability exposures and address any relevant exposures within the entity’s systems and software.
- Processes to periodically assess systems and software for vulnerabilities using scanners with current vulnerability lists.
- Vulnerability scans of all systems and software in the entity’s hardware, software, and telecommunications inventories.
- Appropriate controls over vulnerability scanning tools, including controls to protect against unauthorized use or access to sensitive information.
- Use of dedicated accounts for authenticated vulnerability scans.
- Methods to track and report on nonconformance to entity policies and the timeliness and remediation progress of all identified vulnerabilities, including those related to security procedures, physical layout, or internal controls.
b. Management implements a patch management program that includes documentation of any patch installations. The patch management program includes the following:
- Processes to document patch installations as part of the entity’s change management procedures.
- Systems and software for automated patch management or other demonstrated effectiveness in keeping up with patch identification, testing, and installation.
- Records of the system and software versions in place and regular monitoring of online and industry resources for information on product enhancements, security or other issues, patches, or upgrades.
- Communication and integration with the entity’s third-party service providers to align the entity’s patch management program with those of the third-party service providers.",Semantic,Superset of,5,10,"ID.RA-01.01: The organization identifies, assesses, and documents risks and potential vulnerabilities associated with assets, to include workforce, data, technology, facilities, services, and connections.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,ID.RA-01.01
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.03,"Management should establish procedures to stay abreast of system vulnerabilities and software vendor patches, test patches in a segregated environment, and install them when appropriate. Additionally, determine the effectiveness of the following:
a. Management implements a vulnerability management program that identifies systems and software vulnerabilities, prioritizes the vulnerabilities and the affected systems in order of risk, and performs timely remediation according to the risk of the vulnerability.
The vulnerability management program includes the following:
- Systems and software operating in the cloud for which the entity is responsible as well as those managed by the entity on its premises.
- Processes to monitor industry third parties (e.g., US-CERT, NIST, and FS-ISAC) that report vulnerability exposures and address any relevant exposures within the entity’s systems and software.
- Processes to periodically assess systems and software for vulnerabilities using scanners with current vulnerability lists.
- Vulnerability scans of all systems and software in the entity’s hardware, software, and telecommunications inventories.
- Appropriate controls over vulnerability scanning tools, including controls to protect against unauthorized use or access to sensitive information.
- Use of dedicated accounts for authenticated vulnerability scans.
- Methods to track and report on nonconformance to entity policies and the timeliness and remediation progress of all identified vulnerabilities, including those related to security procedures, physical layout, or internal controls.
b. Management implements a patch management program that includes documentation of any patch installations. The patch management program includes the following:
- Processes to document patch installations as part of the entity’s change management procedures.
- Systems and software for automated patch management or other demonstrated effectiveness in keeping up with patch identification, testing, and installation.
- Records of the system and software versions in place and regular monitoring of online and industry resources for information on product enhancements, security or other issues, patches, or upgrades.
- Communication and integration with the entity’s third-party service providers to align the entity’s patch management program with those of the third-party service providers.",Semantic,Superset of,5,10,"ID.RA-01.03: The organization establishes and maintains standards and capabilities for ongoing vulnerability management, including systematic scans, or reviews reasonably designed to identify known cyber vulnerabilities and upgrade opportunities, across the organization's environments and assets.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,ID.RA-01.03
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.03,"Management should establish procedures to stay abreast of system vulnerabilities and software vendor patches, test patches in a segregated environment, and install them when appropriate. Additionally, determine the effectiveness of the following:
a. Management implements a vulnerability management program that identifies systems and software vulnerabilities, prioritizes the vulnerabilities and the affected systems in order of risk, and performs timely remediation according to the risk of the vulnerability.
The vulnerability management program includes the following:
- Systems and software operating in the cloud for which the entity is responsible as well as those managed by the entity on its premises.
- Processes to monitor industry third parties (e.g., US-CERT, NIST, and FS-ISAC) that report vulnerability exposures and address any relevant exposures within the entity’s systems and software.
- Processes to periodically assess systems and software for vulnerabilities using scanners with current vulnerability lists.
- Vulnerability scans of all systems and software in the entity’s hardware, software, and telecommunications inventories.
- Appropriate controls over vulnerability scanning tools, including controls to protect against unauthorized use or access to sensitive information.
- Use of dedicated accounts for authenticated vulnerability scans.
- Methods to track and report on nonconformance to entity policies and the timeliness and remediation progress of all identified vulnerabilities, including those related to security procedures, physical layout, or internal controls.
b. Management implements a patch management program that includes documentation of any patch installations. The patch management program includes the following:
- Processes to document patch installations as part of the entity’s change management procedures.
- Systems and software for automated patch management or other demonstrated effectiveness in keeping up with patch identification, testing, and installation.
- Records of the system and software versions in place and regular monitoring of online and industry resources for information on product enhancements, security or other issues, patches, or upgrades.
- Communication and integration with the entity’s third-party service providers to align the entity’s patch management program with those of the third-party service providers.",Semantic,Superset of,5,10,"ID.RA-06.05: The organization defines and implements standards and procedures to prioritize and remediate issues identified in vulnerability scanning or penetration testing, including emergency or zero-day threats and vulnerabilities.",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.05
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.03,"Management should establish procedures to stay abreast of system vulnerabilities and software vendor patches, test patches in a segregated environment, and install them when appropriate. Additionally, determine the effectiveness of the following:
a. Management implements a vulnerability management program that identifies systems and software vulnerabilities, prioritizes the vulnerabilities and the affected systems in order of risk, and performs timely remediation according to the risk of the vulnerability.
The vulnerability management program includes the following:
- Systems and software operating in the cloud for which the entity is responsible as well as those managed by the entity on its premises.
- Processes to monitor industry third parties (e.g., US-CERT, NIST, and FS-ISAC) that report vulnerability exposures and address any relevant exposures within the entity’s systems and software.
- Processes to periodically assess systems and software for vulnerabilities using scanners with current vulnerability lists.
- Vulnerability scans of all systems and software in the entity’s hardware, software, and telecommunications inventories.
- Appropriate controls over vulnerability scanning tools, including controls to protect against unauthorized use or access to sensitive information.
- Use of dedicated accounts for authenticated vulnerability scans.
- Methods to track and report on nonconformance to entity policies and the timeliness and remediation progress of all identified vulnerabilities, including those related to security procedures, physical layout, or internal controls.
b. Management implements a patch management program that includes documentation of any patch installations. The patch management program includes the following:
- Processes to document patch installations as part of the entity’s change management procedures.
- Systems and software for automated patch management or other demonstrated effectiveness in keeping up with patch identification, testing, and installation.
- Records of the system and software versions in place and regular monitoring of online and industry resources for information on product enhancements, security or other issues, patches, or upgrades.
- Communication and integration with the entity’s third-party service providers to align the entity’s patch management program with those of the third-party service providers.",Semantic,Superset of,5,10,"ID.RA-06.06: The organization follows documented procedures, consistent with established risk response processes, for mitigating or accepting the risk of vulnerabilities or weaknesses identified in exercises and testing or when responding to incidents.",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.06
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.03,"Management should establish procedures to stay abreast of system vulnerabilities and software vendor patches, test patches in a segregated environment, and install them when appropriate. Additionally, determine the effectiveness of the following:
a. Management implements a vulnerability management program that identifies systems and software vulnerabilities, prioritizes the vulnerabilities and the affected systems in order of risk, and performs timely remediation according to the risk of the vulnerability.
The vulnerability management program includes the following:
- Systems and software operating in the cloud for which the entity is responsible as well as those managed by the entity on its premises.
- Processes to monitor industry third parties (e.g., US-CERT, NIST, and FS-ISAC) that report vulnerability exposures and address any relevant exposures within the entity’s systems and software.
- Processes to periodically assess systems and software for vulnerabilities using scanners with current vulnerability lists.
- Vulnerability scans of all systems and software in the entity’s hardware, software, and telecommunications inventories.
- Appropriate controls over vulnerability scanning tools, including controls to protect against unauthorized use or access to sensitive information.
- Use of dedicated accounts for authenticated vulnerability scans.
- Methods to track and report on nonconformance to entity policies and the timeliness and remediation progress of all identified vulnerabilities, including those related to security procedures, physical layout, or internal controls.
b. Management implements a patch management program that includes documentation of any patch installations. The patch management program includes the following:
- Processes to document patch installations as part of the entity’s change management procedures.
- Systems and software for automated patch management or other demonstrated effectiveness in keeping up with patch identification, testing, and installation.
- Records of the system and software versions in place and regular monitoring of online and industry resources for information on product enhancements, security or other issues, patches, or upgrades.
- Communication and integration with the entity’s third-party service providers to align the entity’s patch management program with those of the third-party service providers.",Semantic,Superset of,4,10,ID.RA-07.05: The organization establishes and maintains an exception management process for identified vulnerabilities that cannot be mitigated within target timeframes.,IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.05
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.03,"Management should establish procedures to stay abreast of system vulnerabilities and software vendor patches, test patches in a segregated environment, and install them when appropriate. Additionally, determine the effectiveness of the following:
a. Management implements a vulnerability management program that identifies systems and software vulnerabilities, prioritizes the vulnerabilities and the affected systems in order of risk, and performs timely remediation according to the risk of the vulnerability.
The vulnerability management program includes the following:
- Systems and software operating in the cloud for which the entity is responsible as well as those managed by the entity on its premises.
- Processes to monitor industry third parties (e.g., US-CERT, NIST, and FS-ISAC) that report vulnerability exposures and address any relevant exposures within the entity’s systems and software.
- Processes to periodically assess systems and software for vulnerabilities using scanners with current vulnerability lists.
- Vulnerability scans of all systems and software in the entity’s hardware, software, and telecommunications inventories.
- Appropriate controls over vulnerability scanning tools, including controls to protect against unauthorized use or access to sensitive information.
- Use of dedicated accounts for authenticated vulnerability scans.
- Methods to track and report on nonconformance to entity policies and the timeliness and remediation progress of all identified vulnerabilities, including those related to security procedures, physical layout, or internal controls.
b. Management implements a patch management program that includes documentation of any patch installations. The patch management program includes the following:
- Processes to document patch installations as part of the entity’s change management procedures.
- Systems and software for automated patch management or other demonstrated effectiveness in keeping up with patch identification, testing, and installation.
- Records of the system and software versions in place and regular monitoring of online and industry resources for information on product enhancements, security or other issues, patches, or upgrades.
- Communication and integration with the entity’s third-party service providers to align the entity’s patch management program with those of the third-party service providers.",Semantic,Superset of,5,10,"ID.RA-08.01: The organization has established enterprise processes for soliciting, receiving and appropriately channeling vulnerability disclosures from:
(1) Public sources (e.g., customers and security researchers);
(2) Vulnerability sharing forums (e.g., FS-ISAC); and
(3) Third-parties (e.g., cloud vendors);
(4) Internal sources (e.g., development teams).",IDENTIFY / Risk Assessment / Vulnerability Disclosure Response,ID.RA-08.01
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.03,"Management should establish procedures to stay abreast of system vulnerabilities and software vendor patches, test patches in a segregated environment, and install them when appropriate. Additionally, determine the effectiveness of the following:
a. Management implements a vulnerability management program that identifies systems and software vulnerabilities, prioritizes the vulnerabilities and the affected systems in order of risk, and performs timely remediation according to the risk of the vulnerability.
The vulnerability management program includes the following:
- Systems and software operating in the cloud for which the entity is responsible as well as those managed by the entity on its premises.
- Processes to monitor industry third parties (e.g., US-CERT, NIST, and FS-ISAC) that report vulnerability exposures and address any relevant exposures within the entity’s systems and software.
- Processes to periodically assess systems and software for vulnerabilities using scanners with current vulnerability lists.
- Vulnerability scans of all systems and software in the entity’s hardware, software, and telecommunications inventories.
- Appropriate controls over vulnerability scanning tools, including controls to protect against unauthorized use or access to sensitive information.
- Use of dedicated accounts for authenticated vulnerability scans.
- Methods to track and report on nonconformance to entity policies and the timeliness and remediation progress of all identified vulnerabilities, including those related to security procedures, physical layout, or internal controls.
b. Management implements a patch management program that includes documentation of any patch installations. The patch management program includes the following:
- Processes to document patch installations as part of the entity’s change management procedures.
- Systems and software for automated patch management or other demonstrated effectiveness in keeping up with patch identification, testing, and installation.
- Records of the system and software versions in place and regular monitoring of online and industry resources for information on product enhancements, security or other issues, patches, or upgrades.
- Communication and integration with the entity’s third-party service providers to align the entity’s patch management program with those of the third-party service providers.",Semantic,Superset of,3,10,"ID.RA-08.02: The organization has established enterprise processes to analyze disclosed vulnerabilities with a focus on:
(1) Determining its validity;
(2) Assessing its scope (e.g., affected assets);
(3) Determining it's severity and impact;
(4) Identifying affected stakeholders or customers; and
(5) Analyzing options to respond.",IDENTIFY / Risk Assessment / Vulnerability Disclosure Response,ID.RA-08.02
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.03,"Management should establish procedures to stay abreast of system vulnerabilities and software vendor patches, test patches in a segregated environment, and install them when appropriate. Additionally, determine the effectiveness of the following:
a. Management implements a vulnerability management program that identifies systems and software vulnerabilities, prioritizes the vulnerabilities and the affected systems in order of risk, and performs timely remediation according to the risk of the vulnerability.
The vulnerability management program includes the following:
- Systems and software operating in the cloud for which the entity is responsible as well as those managed by the entity on its premises.
- Processes to monitor industry third parties (e.g., US-CERT, NIST, and FS-ISAC) that report vulnerability exposures and address any relevant exposures within the entity’s systems and software.
- Processes to periodically assess systems and software for vulnerabilities using scanners with current vulnerability lists.
- Vulnerability scans of all systems and software in the entity’s hardware, software, and telecommunications inventories.
- Appropriate controls over vulnerability scanning tools, including controls to protect against unauthorized use or access to sensitive information.
- Use of dedicated accounts for authenticated vulnerability scans.
- Methods to track and report on nonconformance to entity policies and the timeliness and remediation progress of all identified vulnerabilities, including those related to security procedures, physical layout, or internal controls.
b. Management implements a patch management program that includes documentation of any patch installations. The patch management program includes the following:
- Processes to document patch installations as part of the entity’s change management procedures.
- Systems and software for automated patch management or other demonstrated effectiveness in keeping up with patch identification, testing, and installation.
- Records of the system and software versions in place and regular monitoring of online and industry resources for information on product enhancements, security or other issues, patches, or upgrades.
- Communication and integration with the entity’s third-party service providers to align the entity’s patch management program with those of the third-party service providers.",Semantic,Superset of,4,10,"ID.IM-02.01: The organization conducts regular, independent penetration testing and red team testing on the organization's network, internet-facing systems, critical applications, and associated controls to identify gaps in cybersecurity defenses.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.01
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.03,"Management should establish procedures to stay abreast of system vulnerabilities and software vendor patches, test patches in a segregated environment, and install them when appropriate. Additionally, determine the effectiveness of the following:
a. Management implements a vulnerability management program that identifies systems and software vulnerabilities, prioritizes the vulnerabilities and the affected systems in order of risk, and performs timely remediation according to the risk of the vulnerability.
The vulnerability management program includes the following:
- Systems and software operating in the cloud for which the entity is responsible as well as those managed by the entity on its premises.
- Processes to monitor industry third parties (e.g., US-CERT, NIST, and FS-ISAC) that report vulnerability exposures and address any relevant exposures within the entity’s systems and software.
- Processes to periodically assess systems and software for vulnerabilities using scanners with current vulnerability lists.
- Vulnerability scans of all systems and software in the entity’s hardware, software, and telecommunications inventories.
- Appropriate controls over vulnerability scanning tools, including controls to protect against unauthorized use or access to sensitive information.
- Use of dedicated accounts for authenticated vulnerability scans.
- Methods to track and report on nonconformance to entity policies and the timeliness and remediation progress of all identified vulnerabilities, including those related to security procedures, physical layout, or internal controls.
b. Management implements a patch management program that includes documentation of any patch installations. The patch management program includes the following:
- Processes to document patch installations as part of the entity’s change management procedures.
- Systems and software for automated patch management or other demonstrated effectiveness in keeping up with patch identification, testing, and installation.
- Records of the system and software versions in place and regular monitoring of online and industry resources for information on product enhancements, security or other issues, patches, or upgrades.
- Communication and integration with the entity’s third-party service providers to align the entity’s patch management program with those of the third-party service providers.",Semantic,Superset of,5,10,"PR.PS-02.01: The organization defines and implements controls to identify patches to technology assets, assess patch criticality and risk, test patches, and apply patches within risk/criticality-based target time frames.",PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02.01
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.03,"Management should establish procedures to stay abreast of system vulnerabilities and software vendor patches, test patches in a segregated environment, and install them when appropriate. Additionally, determine the effectiveness of the following:
a. Management implements a vulnerability management program that identifies systems and software vulnerabilities, prioritizes the vulnerabilities and the affected systems in order of risk, and performs timely remediation according to the risk of the vulnerability.
The vulnerability management program includes the following:
- Systems and software operating in the cloud for which the entity is responsible as well as those managed by the entity on its premises.
- Processes to monitor industry third parties (e.g., US-CERT, NIST, and FS-ISAC) that report vulnerability exposures and address any relevant exposures within the entity’s systems and software.
- Processes to periodically assess systems and software for vulnerabilities using scanners with current vulnerability lists.
- Vulnerability scans of all systems and software in the entity’s hardware, software, and telecommunications inventories.
- Appropriate controls over vulnerability scanning tools, including controls to protect against unauthorized use or access to sensitive information.
- Use of dedicated accounts for authenticated vulnerability scans.
- Methods to track and report on nonconformance to entity policies and the timeliness and remediation progress of all identified vulnerabilities, including those related to security procedures, physical layout, or internal controls.
b. Management implements a patch management program that includes documentation of any patch installations. The patch management program includes the following:
- Processes to document patch installations as part of the entity’s change management procedures.
- Systems and software for automated patch management or other demonstrated effectiveness in keeping up with patch identification, testing, and installation.
- Records of the system and software versions in place and regular monitoring of online and industry resources for information on product enhancements, security or other issues, patches, or upgrades.
- Communication and integration with the entity’s third-party service providers to align the entity’s patch management program with those of the third-party service providers.",Semantic,Superset of,5,10,"PR.PS-06.05: A software security testing and validation strategy is developed and implemented in the development lifecycle of all software projects, defining testing requirements and plans; performing/automating testing, vulnerability scanning, and migration activities; and supporting code integrity verification (e.g., using digital signatures).",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.05
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.03,"Management should establish procedures to stay abreast of system vulnerabilities and software vendor patches, test patches in a segregated environment, and install them when appropriate. Additionally, determine the effectiveness of the following:
a. Management implements a vulnerability management program that identifies systems and software vulnerabilities, prioritizes the vulnerabilities and the affected systems in order of risk, and performs timely remediation according to the risk of the vulnerability.
The vulnerability management program includes the following:
- Systems and software operating in the cloud for which the entity is responsible as well as those managed by the entity on its premises.
- Processes to monitor industry third parties (e.g., US-CERT, NIST, and FS-ISAC) that report vulnerability exposures and address any relevant exposures within the entity’s systems and software.
- Processes to periodically assess systems and software for vulnerabilities using scanners with current vulnerability lists.
- Vulnerability scans of all systems and software in the entity’s hardware, software, and telecommunications inventories.
- Appropriate controls over vulnerability scanning tools, including controls to protect against unauthorized use or access to sensitive information.
- Use of dedicated accounts for authenticated vulnerability scans.
- Methods to track and report on nonconformance to entity policies and the timeliness and remediation progress of all identified vulnerabilities, including those related to security procedures, physical layout, or internal controls.
b. Management implements a patch management program that includes documentation of any patch installations. The patch management program includes the following:
- Processes to document patch installations as part of the entity’s change management procedures.
- Systems and software for automated patch management or other demonstrated effectiveness in keeping up with patch identification, testing, and installation.
- Records of the system and software versions in place and regular monitoring of online and industry resources for information on product enhancements, security or other issues, patches, or upgrades.
- Communication and integration with the entity’s third-party service providers to align the entity’s patch management program with those of the third-party service providers.",Semantic,Superset of,5,10,"PR.PS-06.06: The system development lifecycle remediates known critical vulnerabilities, and critical vulnerabilities discovered during testing, prior to production deployment.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.06
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.04,"Management should implement backup methods, including replication, based on the risk and criticality of the systems and data. As part of its backup and replication processes, management should maintain the following: 
- Policies, standards, and procedures. 
- Inventories of backup media, storage location, and access controls for the media or physical location. 
- Documented periodic physical reviews to confirm that all relevant backup material is available. 
- Procedures to verify adherence to backup schedules. 
- Processes to regularly test backup copies for readability. 
- Capability to restore operations to a previous trusted state. 
- Backups of configurations and data off-site and on a separate system or media. 
- VM versioning, replication, and life cycle policies for backup processes. 
- Data encryption and access controls to protect backup or replicated data from unauthorized access, destruction, or corruption. 
- Proper sanitization and disposal of data when it is no longer needed to prevent the disclosure of information to unauthorized users.
b. When using third-party service providers for backup and replication, management should validate that the third-party service provider performs the processes above.",Semantic,Superset of,6,9,"GV.OC-05.04: Recovery point objectives to support data integrity are consistent with the organization's recovery time objectives, information flow dependencies between systems, and business obligations.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.04
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.04,"Management should implement backup methods, including replication, based on the risk and criticality of the systems and data. As part of its backup and replication processes, management should maintain the following: 
- Policies, standards, and procedures. 
- Inventories of backup media, storage location, and access controls for the media or physical location. 
- Documented periodic physical reviews to confirm that all relevant backup material is available. 
- Procedures to verify adherence to backup schedules. 
- Processes to regularly test backup copies for readability. 
- Capability to restore operations to a previous trusted state. 
- Backups of configurations and data off-site and on a separate system or media. 
- VM versioning, replication, and life cycle policies for backup processes. 
- Data encryption and access controls to protect backup or replicated data from unauthorized access, destruction, or corruption. 
- Proper sanitization and disposal of data when it is no longer needed to prevent the disclosure of information to unauthorized users.
b. When using third-party service providers for backup and replication, management should validate that the third-party service provider performs the processes above.",Semantic,Intersects with,2,9,"GV.RM-09.02: The resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders, to include critical infrastructure partners, during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.02
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.04,"Management should implement backup methods, including replication, based on the risk and criticality of the systems and data. As part of its backup and replication processes, management should maintain the following: 
- Policies, standards, and procedures. 
- Inventories of backup media, storage location, and access controls for the media or physical location. 
- Documented periodic physical reviews to confirm that all relevant backup material is available. 
- Procedures to verify adherence to backup schedules. 
- Processes to regularly test backup copies for readability. 
- Capability to restore operations to a previous trusted state. 
- Backups of configurations and data off-site and on a separate system or media. 
- VM versioning, replication, and life cycle policies for backup processes. 
- Data encryption and access controls to protect backup or replicated data from unauthorized access, destruction, or corruption. 
- Proper sanitization and disposal of data when it is no longer needed to prevent the disclosure of information to unauthorized users.
b. When using third-party service providers for backup and replication, management should validate that the third-party service provider performs the processes above.",Semantic,Superset of,6,9,"ID.IM-02.06: The organization designs and tests its systems and processes, and employs third-party support resources (e.g., Sheltered Harbor), to enable recovery of accurate data (e.g., material financial transactions) sufficient to support defined business recovery time and recovery point objectives.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.06
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.04,"Management should implement backup methods, including replication, based on the risk and criticality of the systems and data. As part of its backup and replication processes, management should maintain the following: 
- Policies, standards, and procedures. 
- Inventories of backup media, storage location, and access controls for the media or physical location. 
- Documented periodic physical reviews to confirm that all relevant backup material is available. 
- Procedures to verify adherence to backup schedules. 
- Processes to regularly test backup copies for readability. 
- Capability to restore operations to a previous trusted state. 
- Backups of configurations and data off-site and on a separate system or media. 
- VM versioning, replication, and life cycle policies for backup processes. 
- Data encryption and access controls to protect backup or replicated data from unauthorized access, destruction, or corruption. 
- Proper sanitization and disposal of data when it is no longer needed to prevent the disclosure of information to unauthorized users.
b. When using third-party service providers for backup and replication, management should validate that the third-party service provider performs the processes above.",Semantic,Superset of,8,9,"ID.AM-08.05: The organization defines and implements standards and procedures, consistent with its data retention policy, for destroying or securely erasing data, media, and storage devices when the data is no longer needed.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.05
Objective #15: Management should implement effective IT operational processes to reduce the number of potential operational failures and minimize the impact of issues that occur.,FFIEC-AIO-15.04,"Management should implement backup methods, including replication, based on the risk and criticality of the systems and data. As part of its backup and replication processes, management should maintain the following: 
- Policies, standards, and procedures. 
- Inventories of backup media, storage location, and access controls for the media or physical location. 
- Documented periodic physical reviews to confirm that all relevant backup material is available. 
- Procedures to verify adherence to backup schedules. 
- Processes to regularly test backup copies for readability. 
- Capability to restore operations to a previous trusted state. 
- Backups of configurations and data off-site and on a separate system or media. 
- VM versioning, replication, and life cycle policies for backup processes. 
- Data encryption and access controls to protect backup or replicated data from unauthorized access, destruction, or corruption. 
- Proper sanitization and disposal of data when it is no longer needed to prevent the disclosure of information to unauthorized users.
b. When using third-party service providers for backup and replication, management should validate that the third-party service provider performs the processes above.",Semantic,Superset of,3,9,"PR.DS-11.01: The organization defines and implements standards and procedures for configuring and performing backups and data replications, including defining backup requirements by data/application/infrastructure criticality, segregating (e.g., air-gapping) and securing backups, verifying backup integrity, and performing backup restoration testing.",PROTECT / Data Security / Data Backup,PR.DS-11.01
